GameID,Week,HomeTeamGamesWon,HomeVsAwayGamesWon,DivisionGame
2011092508,3,1,-1,0
2011092510,3,0,-1,0
2011092509,3,1,1,1
2011092512,3,0,-1,1
2011092511,3,1,-1,1
2011092513,3,1,0,1
2011092514,3,0,-1,0
2011092600,3,1,-1,1
2011100206,4,0,-2,0
2011100208,4,0,0,0
2011100203,4,2,-1,0
2011100204,4,1,-1,0
2011100201,4,2,0,0
2011100202,4,2,0,0
2011100207,4,1,-1,0
2011100200,4,1,-2,0
2011100205,4,1,0,0
2011100209,4,1,-1,0
2011100210,4,1,0,0
2011100211,4,3,2,0
2011100212,4,2,0,0
2011100213,4,2,2,0
2011100214,4,2,0,0
2011100300,4,2,2,0
2011100900,5,2,-1,0
2011100902,5,0,-1,0
2011100901,5,3,1,0
2011100903,5,1,-1,0
2011100906,5,1,-2,1
2011100904,5,3,2,0
2011100907,5,3,2,0
2011100905,5,0,-1,0
2011100908,5,3,0,0
2011100909,5,3,1,1
2011100910,5,1,-2,1
2011100911,5,2,-2,0
2011101000,5,4,2,1
2011101605,6,5,5,0
2011101600,6,3,-1,0
2011101601,6,3,3,0
2011101606,6,2,1,1
2011101602,6,3,2,0
2011101604,6,5,1,0
2011101603,6,3,2,1
2011101607,6,3,1,0
2011101608,6,3,0,0
2011101610,6,4,2,0
2011101609,6,3,-1,1
2011101611,6,2,1,1
2011101700,6,2,2,1
2011102300,7,0,-1,0
2011102302,7,3,0,1
2011102301,7,3,-1,0
2011102306,7,2,0,0
2011102305,7,4,1,0
2011102303,7,5,2,0
2011102304,7,1,-2,0
2011102307,7,1,-3,0
2011102310,7,2,2,0
2011102309,7,1,-5,1
2011102308,7,4,2,1
2011102311,7,4,4,0
2011102400,7,1,-3,0
2011103004,8,0,-5,0
2011103005,8,4,3,0
2011103000,8,4,4,0
2011103001,8,4,2,1
2011103002,8,3,3,1
2011103003,8,2,1,0
2011103007,8,4,1,0
2011103006,8,2,-3,0
2011103009,8,5,2,0
2011103008,8,5,0,0
2011103010,8,2,-2,0
2011103011,8,2,-1,1
2011103100,8,3,-1,1
2011110603,9,3,1,0
2011110606,9,0,-4,0
2011110602,9,4,4,0
2011110601,9,5,2,0
2011110600,9,5,1,1
2011110604,9,3,-3,0
2011110605,9,5,1,1
2011110607,9,4,2,1
2011110608,9,4,-1,0
2011110609,9,5,0,0
2011110611,9,1,0,1
2011110610,9,4,-3,0
2011110612,9,6,1,1
2011110700,9,3,-1,0
2011111000,10,4,0,1
2011111303,10,6,0,1
2011111306,10,3,1,0
2011111300,10,4,-1,0
2011111304,10,0,-2,1
2011111302,10,4,-2,0
2011111308,10,5,-1,1
2011111305,10,4,1,1
2011111310,10,3,2,0
2011111309,10,1,-2,0
2011111301,10,2,-2,0
2011111311,10,2,-4,0
2011111312,10,7,1,0
2011111307,10,5,-1,1
2011111313,10,5,0,1
2011111400,10,8,6,1
2011111700,11,4,-1,0
2011112007,11,9,5,0
2011112002,11,2,-3,1
2011112004,11,6,0,1
2011112006,11,6,4,0
2011112003,11,3,0,0
2011112005,11,3,-2,1
2011112000,11,2,-3,0
2011112008,11,8,5,1
2011112009,11,2,-1,1
2011112001,11,5,0,0
2011112010,11,6,2,0
2011112011,11,6,3,1
2011112100,11,6,2,0
2011112400,12,7,-3,1
2011112401,12,6,3,0
2011112402,12,7,-2,0
2011112704,12,2,-1,1
2011112706,12,5,1,0
2011112700,12,5,0,1
2011112701,12,6,2,1
2011112703,12,6,4,0
2011112705,12,0,-2,0
2011112702,12,3,-4,1
2011112708,12,6,-1,0
2011112707,12,4,1,0
2011112710,12,4,-1,1
2011112709,12,4,-3,0
2011112711,12,4,-3,0
2011112800,12,7,1,0
2011120100,13,4,0,0
2011120407,13,4,1,1
2011120413,13,8,8,0
2011120402,13,5,-1,0
2011120405,13,8,1,1
2011120408,13,8,1,0
2011120400,13,4,-2,0
2011120401,13,7,3,0
2011120403,13,3,-4,0
2011120409,13,2,-4,0
2011120404,13,4,-4,1
2011120410,13,6,-5,0
2011120411,13,4,-3,0
2011120412,13,9,7,1
2011120406,13,8,1,0
2011120500,13,3,-1,0
2011120800,14,9,5,1
2011121103,14,7,-2,0
2011121104,14,9,9,0
2011121102,14,7,2,0
2011121100,14,4,-5,0
2011121107,14,4,0,0
2011121105,14,7,5,1
2011121108,14,3,-1,0
2011121109,14,7,-2,0
2011121106,14,4,-3,1
2011121110,14,5,-5,1
2011121111,14,7,0,0
2011121112,14,5,0,0
2011121101,14,12,5,0
2011121113,14,7,1,1
2011121200,14,5,3,1
2011121500,15,8,4,0
2011121700,15,4,-3,0
2011121800,15,2,-5,0
2011121801,15,5,1,1
2011121803,15,7,3,1
2011121807,15,5,-8,0
2011121802,15,0,-7,1
2011121804,15,7,1,0
2011121806,15,10,6,0
2011121805,15,2,-8,0
2011121808,15,7,-1,0
2011121810,15,6,2,0
2011121811,15,8,-2,0
2011121809,15,5,-3,0
2011121812,15,6,-4,0
2011121900,15,10,0,0
2011122200,16,1,-9,1
2011122409,16,10,8,0
2011122401,16,11,6,1
2011122400,16,5,-3,0
2011122403,16,7,3,1
2011122408,16,8,1,0
